iter	Passed	Remaining
0	241	241088
1	308	153805
2	411	136737
3	507	126290
4	563	112069
5	642	106492
6	726	103085
7	816	101202
8	904	99560
9	987	97804
10	1054	94845
11	1121	92366
12	1186	90096
13	1256	88502
14	1317	86525
15	1391	85557
16	1459	84413
17	1525	83200
18	1594	82352
19	1669	81813
20	1756	81890
21	1839	81769
22	1912	81254
23	1998	81259
24	2062	80421
25	2144	80341
26	2224	80161
27	2298	79777
28	2375	79536
29	2451	79250
30	2532	79148
31	2604	78796
32	2669	78211
33	2742	77918
34	2828	77979
35	2918	78157
36	2982	77612
37	3059	77457
38	3128	77084
39	3203	76886
40	3276	76648
41	3350	76413
42	3416	76044
43	3493	75899
44	3568	75722
45	3644	75582
46	3714	75312
47	3783	75030
48	3862	74971
49	3941	74895
50	4017	74757
51	4101	74777
52	4179	74678
53	4244	74354
54	4313	74107
55	4381	73852
56	4449	73610
57	4518	73387
58	4598	73339
59	4669	73160
60	4732	72845
61	4800	72628
62	4869	72424
63	4932	72131
64	4997	71881
65	5070	71761
66	5145	71652
67	5220	71556
68	5297	71474
69	5382	71514
70	5451	71324
71	5517	71109
72	5600	71115
73	5690	71210
74	5758	71024
75	5847	71088
76	5924	71019
77	6027	71244
78	6116	71305
79	6190	71189
80	6261	71038
81	6333	70908
82	6411	70832
83	6495	70836
84	6566	70681
85	6656	70742
86	6746	70798
87	6816	70647
88	6893	70565
89	6979	70573
90	7066	70586
91	7158	70652
92	7258	70792
93	7336	70709
94	7384	70345
95	7480	70441
96	7574	70515
97	7662	70522
98	7743	70469
99	7812	70314
100	7903	70344
101	8012	70538
102	8106	70598
103	8213	70762
104	8307	70809
105	8397	70826
106	8498	70930
107	8608	71102
108	8687	71013
109	8775	71003
110	8847	70857
111	8944	70918
112	9047	71017
113	9084	70600
114	9182	70662
115	9270	70650
116	9364	70674
117	9456	70686
118	9545	70665
119	9626	70591
120	9726	70657
121	9809	70598
122	9888	70509
123	9964	70395
124	10053	70376
125	10139	70332
126	10202	70135
127	10292	70114
128	10388	70141
129	10471	70075
130	10559	70050
131	10643	69989
132	10726	69926
133	10820	69928
134	10850	69522
135	10931	69444
136	11023	69441
137	11056	69061
138	11131	68952
139	11213	68884
140	11300	68844
141	11375	68732
142	11462	68692
143	11568	68770
144	11640	68639
145	11720	68557
146	11791	68420
147	11858	68264
148	11949	68248
149	12030	68172
150	12119	68140
151	12188	67996
152	12269	67923
153	12350	67847
154	12438	67812
155	12518	67728
156	12604	67680
157	12699	67677
158	12772	67558
159	12869	67566
160	12903	67244
161	12971	67099
162	13034	66931
163	13098	66771
164	13177	66685
165	13246	66550
166	13322	66452
167	13413	66430
168	13484	66304
169	13569	66252
170	13594	65905
171	13677	65842
172	13763	65792
173	13783	65432
174	13866	65371
175	13943	65282
176	14039	65279
177	14110	65162
178	14186	65066
179	14279	65051
180	14368	65014
181	14455	64968
182	14538	64904
183	14610	64793
184	14687	64704
185	14758	64589
186	14849	64559
187	14945	64552
188	15040	64538
189	15134	64521
190	15237	64539
191	15336	64539
192	15419	64475
193	15508	64431
194	15624	64499
195	15734	64542
196	15848	64601
197	15967	64676
198	16065	64666
199	16092	64368
200	16169	64276
201	16259	64231
202	16371	64275
203	16467	64256
204	16590	64338
205	16686	64317
206	16707	64005
207	16795	63951
208	16890	63925
209	16975	63860
210	17001	63575
211	17088	63518
212	17186	63501
213	17283	63479
214	17364	63400
215	17478	63441
216	17508	63175
217	17577	63054
218	17660	62979
219	17741	62901
220	17813	62791
221	17898	62724
222	17989	62680
223	18072	62609
224	18164	62567
225	18238	62464
226	18332	62425
227	18421	62374
228	18486	62240
229	18579	62201
230	18663	62131
231	18751	62073
232	18815	61939
233	18908	61897
234	19015	61899
235	19132	61937
236	19215	61863
237	19315	61841
238	19403	61781
239	19495	61736
240	19567	61625
241	19638	61513
242	19733	61472
243	19815	61395
244	19916	61375
245	19992	61277
246	20070	61185
247	20146	61089
248	20247	61067
249	20329	60989
250	20408	60899
251	20487	60811
252	20563	60714
253	20646	60637
254	20733	60575
255	20826	60528
256	20901	60428
257	20995	60381
258	21094	60351
259	21186	60301
260	21257	60188
261	21345	60125
262	21444	60094
263	21531	60028
264	21604	59922
265	21666	59787
266	21760	59739
267	21827	59618
268	21907	59534
269	22015	59523
270	22108	59471
271	22204	59429
272	22307	59404
273	22390	59326
274	22465	59228
275	22555	59167
276	22649	59118
277	22735	59047
278	22808	58942
279	22909	58909
280	22973	58783
281	23043	58670
282	23124	58588
283	23220	58542
284	23298	58450
285	23393	58401
286	23464	58292
287	23549	58219
288	23630	58134
289	23711	58052
290	23798	57982
291	23868	57872
292	23933	57751
293	24020	57682
294	24103	57604
295	24184	57519
296	24254	57410
297	24333	57321
298	24414	57238
299	24507	57183
300	24581	57084
301	24643	56957
302	24720	56864
303	24816	56816
304	24894	56726
305	24965	56620
306	25030	56501
307	25096	56386
308	25165	56276
309	25267	56240
310	25368	56202
311	25439	56096
312	25523	56021
313	25606	55942
314	25682	55848
315	25777	55797
316	25879	55759
317	25945	55644
318	26038	55587
319	26126	55519
320	26214	55450
321	26313	55405
322	26403	55341
323	26505	55301
324	26587	55219
325	26659	55119
326	26743	55041
327	26823	54956
328	26909	54882
329	26993	54805
330	27070	54712
331	27151	54631
332	27232	54546
333	27320	54478
334	27418	54426
335	27506	54358
336	27590	54279
337	27686	54225
338	27772	54152
339	27842	54047
340	27920	53957
341	27998	53868
342	28061	53750
343	28152	53685
344	28244	53622
345	28331	53551
346	28395	53436
347	28492	53383
348	28584	53320
349	28668	53240
350	28747	53153
351	28819	53053
352	28899	52968
353	28993	52908
354	29068	52815
355	29137	52708
356	29197	52588
357	29288	52522
358	29398	52491
359	29492	52431
360	29571	52343
361	29672	52296
362	29744	52196
363	29815	52095
364	29909	52034
365	30006	51978
366	30077	51876
367	30163	51802
368	30243	51717
369	30333	51649
370	30399	51539
371	30475	51447
372	30557	51365
373	30628	51265
374	30715	51192
375	30804	51122
376	30893	51052
377	30968	50957
378	31068	50907
379	31165	50848
380	31224	50729
381	31307	50649
382	31387	50564
383	31490	50516
384	31575	50438
385	31663	50367
386	31735	50268
387	31801	50160
388	31901	50107
389	31986	50030
390	32078	49964
391	32162	49884
392	32226	49775
393	32310	49696
394	32393	49615
395	32481	49542
396	32555	49447
397	32623	49345
398	32715	49278
399	32789	49184
400	32889	49129
401	32973	49049
402	33065	48983
403	33175	48942
404	33271	48880
405	33339	48777
406	33436	48717
407	33519	48635
408	33586	48532
409	33675	48460
410	33770	48396
411	33831	48284
412	33913	48201
413	33995	48119
414	34090	48054
415	34182	47986
416	34279	47925
417	34361	47843
418	34462	47786
419	34543	47702
420	34625	47620
421	34735	47576
422	34846	47533
423	34953	47483
424	35043	47411
425	35131	47336
426	35230	47276
427	35307	47187
428	35378	47088
429	35458	47002
430	35532	46909
431	35612	46824
432	35704	46753
433	35797	46685
434	35882	46606
435	35967	46527
436	36058	46455
437	36145	46377
438	36211	46274
439	36309	46212
440	36399	46139
441	36474	46047
442	36562	45971
443	36657	45904
444	36759	45846
445	36844	45766
446	36936	45695
447	37028	45624
448	37107	45537
449	37179	45441
450	37259	45356
451	37326	45254
452	37375	45131
453	37445	45033
454	37548	44975
455	37623	44884
456	37727	44826
457	37806	44740
458	37906	44678
459	37997	44605
460	38078	44521
461	38144	44418
462	38233	44344
463	38331	44279
464	38435	44221
465	38535	44158
466	38601	44057
467	38678	43967
468	38762	43886
469	38850	43810
470	38930	43724
471	39020	43649
472	39104	43568
473	39184	43482
474	39271	43405
475	39353	43322
476	39439	43243
477	39525	43163
478	39612	43085
479	39697	43005
480	39772	42914
481	39861	42838
482	39933	42745
483	40013	42658
484	40107	42588
485	40289	42610
486	40383	42539
487	40464	42454
488	40571	42397
489	40666	42326
490	40751	42245
491	40844	42172
492	40947	42110
493	41050	42047
494	41136	41967
495	41231	41896
496	41331	41830
497	41408	41741
498	41484	41651
499	41568	41568
500	41645	41478
501	41711	41379
502	41800	41301
503	41891	41226
504	41981	41150
505	42082	41084
506	42157	40993
507	42239	40909
508	42319	40822
509	42409	40746
510	42510	40680
511	42604	40607
512	42665	40503
513	42761	40432
514	42848	40352
515	42939	40276
516	43023	40194
517	43113	40117
518	43203	40039
519	43281	39951
520	43356	39861
521	43455	39792
522	43523	39695
523	43641	39643
524	43733	39568
525	43820	39488
526	43930	39429
527	44033	39363
528	44111	39274
529	44192	39189
530	44284	39113
531	44357	39021
532	44437	38934
533	44524	38854
534	44602	38766
535	44700	38695
536	44789	38616
537	44866	38528
538	44949	38444
539	45034	38362
540	45124	38284
541	45221	38212
542	45311	38135
543	45384	38043
544	45458	37951
545	45541	37867
546	45639	37796
547	45725	37714
548	45814	37636
549	45886	37543
550	45976	37465
551	46054	37377
552	46128	37286
553	46207	37199
554	46291	37116
555	46386	37042
556	46465	36955
557	46554	36876
558	46633	36789
559	46722	36710
560	46806	36627
561	46887	36542
562	46975	36462
563	47041	36365
564	47146	36298
565	47226	36212
566	47326	36142
567	47416	36063
568	47485	35968
569	47581	35894
570	47672	35817
571	47754	35732
572	47844	35653
573	47934	35574
574	48008	35484
575	48098	35405
576	48197	35333
577	48288	35255
578	48382	35179
579	48480	35106
580	48581	35035
581	48672	34957
582	48752	34870
583	48835	34787
584	48913	34699
585	49010	34625
586	49105	34549
587	49197	34471
588	49281	34388
589	49369	34307
590	49458	34227
591	49543	34144
592	49643	34072
593	49748	34002
594	49852	33933
595	49937	33850
596	50031	33773
597	50107	33684
598	50192	33600
599	50291	33527
600	50388	33452
601	50480	33374
602	50583	33302
603	50660	33214
604	50757	33139
605	50855	33064
606	50943	32983
607	51027	32899
608	51113	32816
609	51198	32733
610	51291	32655
611	51406	32591
612	51503	32515
613	51577	32425
614	51668	32345
615	51746	32257
616	51847	32183
617	51931	32100
618	52015	32015
619	52109	31938
620	52183	31848
621	52248	31752
622	52346	31676
623	52442	31600
624	52539	31523
625	52620	31437
626	52705	31354
627	52795	31273
628	52883	31191
629	52982	31116
630	53094	31048
631	53177	30964
632	53269	30884
633	53350	30798
634	53442	30719
635	53534	30639
636	53623	30557
637	53712	30476
638	53811	30400
639	53918	30329
640	54007	30247
641	54077	30155
642	54168	30074
643	54257	29993
644	54357	29917
645	54423	29823
646	54506	29738
647	54612	29666
648	54704	29585
649	54783	29498
650	54871	29416
651	54964	29336
652	55050	29253
653	55138	29171
654	55230	29090
655	55326	29012
656	55412	28929
657	55502	28847
658	55593	28766
659	55671	28679
660	55749	28591
661	55836	28508
662	55916	28422
663	55982	28328
664	56077	28249
665	56160	28164
666	56266	28091
667	56344	28003
668	56442	27925
669	56534	27845
670	56641	27772
671	56739	27694
672	56829	27612
673	56900	27521
674	56983	27436
675	57057	27346
676	57146	27264
677	57209	27170
678	57282	27080
679	57365	26995
680	57449	26910
681	57538	26828
682	57631	26748
683	57729	26670
684	57822	26590
685	57926	26514
686	58019	26433
687	58102	26348
688	58201	26271
689	58274	26181
690	58354	26095
691	58447	26014
692	58531	25929
693	58624	25848
